               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082206,            0.013265,                   0,             0.79045,             0.77766,             0.82524,             0.39045,            0.041177,            0.012016,                   0,             0.00259,             0.00259,             0.07669
                   1,            0.045243,            0.011947,                   0,             0.98042,             0.93231,             0.97008,             0.55192,            0.034098,           0.0080061,                   0,           0.0051899,           0.0051899,             0.05329
                   2,            0.042018,           0.0089403,                   0,             0.97187,             0.95677,             0.98119,             0.62523,            0.026286,           0.0060277,                   0,           0.0077893,           0.0077893,            0.029889
                   3,            0.038813,           0.0074164,                   0,             0.97533,             0.97846,             0.98799,             0.59876,            0.028828,           0.0056525,                   0,            0.009998,            0.009998,            0.009998
                   4,            0.034147,           0.0065552,                   0,             0.99377,             0.98769,             0.99433,             0.70964,            0.023148,           0.0045882,                   0,            0.009998,            0.009998,            0.009998
                   5,            0.030683,           0.0056727,                   0,              0.9969,             0.99692,               0.995,             0.69289,            0.022995,           0.0039788,                   0,           0.0099965,           0.0099965,           0.0099965
                   6,              0.0286,           0.0052564,                   0,             0.99082,             0.99692,             0.99488,             0.70104,             0.02134,           0.0039246,                   0,           0.0099945,           0.0099945,           0.0099945
                   7,            0.026992,           0.0049534,                   0,             0.99385,             0.99384,             0.99494,             0.72359,            0.019888,           0.0034245,                   0,           0.0099921,           0.0099921,           0.0099921
                   8,            0.025772,           0.0047846,                   0,             0.99998,             0.99077,               0.995,             0.74682,             0.01986,           0.0032983,                   0,           0.0099893,           0.0099893,           0.0099893
                   9,            0.025385,           0.0045651,                   0,             0.99079,             0.99385,             0.99485,             0.72389,            0.021089,           0.0034797,                   0,            0.009986,            0.009986,            0.009986
                  10,            0.024431,           0.0044102,                   0,             0.99689,             0.99385,             0.99327,             0.72923,            0.020313,           0.0032947,                   0,           0.0099822,           0.0099822,           0.0099822
                  11,            0.024043,           0.0043085,                   0,             0.98779,             0.99692,             0.99466,             0.71925,            0.021268,           0.0032632,                   0,           0.0099781,           0.0099781,           0.0099781
                  12,            0.023455,           0.0042976,                   0,             0.99999,             0.99077,               0.995,             0.71583,            0.021348,           0.0033295,                   0,           0.0099735,           0.0099735,           0.0099735
                  13,            0.023718,           0.0040913,                   0,                   1,             0.99075,               0.995,             0.72695,            0.020226,           0.0032523,                   0,           0.0099685,           0.0099685,           0.0099685
                  14,            0.023097,           0.0041071,                   0,                   1,             0.99385,               0.995,             0.74984,            0.018894,           0.0030468,                   0,            0.009963,            0.009963,            0.009963
                  15,            0.022181,            0.004062,                   0,              0.9969,             0.99385,               0.995,             0.74077,            0.020134,           0.0030204,                   0,           0.0099571,           0.0099571,           0.0099571
                  16,            0.022124,           0.0040284,                   0,              0.9969,             0.99692,               0.995,             0.73555,            0.019513,            0.003068,                   0,           0.0099508,           0.0099508,           0.0099508
                  17,            0.021362,             0.00392,                   0,                   1,             0.99692,               0.995,             0.73674,            0.019375,           0.0030852,                   0,            0.009944,            0.009944,            0.009944
                  18,            0.021162,           0.0038699,                   0,             0.99384,             0.99385,             0.99491,             0.74868,            0.018882,           0.0031075,                   0,           0.0099368,           0.0099368,           0.0099368
                  19,            0.021102,            0.003816,                   0,             0.99692,             0.99692,               0.995,             0.75565,            0.017766,           0.0029937,                   0,           0.0099291,           0.0099291,           0.0099291
                  20,            0.020517,           0.0038036,                   0,              0.9878,             0.99692,             0.99341,             0.75394,            0.017728,           0.0029852,                   0,           0.0099211,           0.0099211,           0.0099211
                  21,            0.020715,            0.003808,                   0,                   1,             0.99692,               0.995,             0.77518,            0.017381,           0.0027765,                   0,           0.0099126,           0.0099126,           0.0099126
                  22,            0.019879,           0.0037111,                   0,             0.99692,             0.99692,             0.99497,             0.76204,            0.018615,           0.0028437,                   0,           0.0099037,           0.0099037,           0.0099037
